NAME,fulldate,BHRET3,Obs,rMVOP,rMVMP
SYSTEM INDUSTRIES,19800905,57.75,53,69.4841,75.998
ISC SYSTEMS,19800916,102.155,54,176.986,276.824
OXYGEN ENRICHMENT,19800923,-56.7,55,39.2688,42.8387
KLA INSTRUMENTS,19801008,235.71,56,113.025,174.247
XICOR,19801028,35.065,57,107.207,156.687
NETWORK SYSTEMS,19801103,213.62,58,242.254,356.652
HEALTH INFORMATION,19801106,378.965,59,24.1343,30.3625
K-TRON,19801203,-67.742,60,158.264,190.412
APPLE COMPUTER,19801212,-25.38,61,3433.98,4487.59
C3,19801216,-17.485,62,376.5,373.56
ZENTEC,19801218,-42.188,63,140.825,138.625
INTELLIGENT SYSTEMS,19801231,82.036,64,119.219,154.612
DIAGNOSTIC/RETRIEVAL,19810122,174.32,65,37.4588,36.9906
DYSAN,19810127,8.33,66,570.341,623.15
SILICON SYSTEMS,19810129,53.672,67,137.757,137.757
RENAL DEVICES,19810205,-94.118,68,25.6036,26.6704
INTER-TEL,19810205,-44.186,69,129.777,166.115
TANDON,19810211,233.813,70,354.542,382.24
ELECTRO-BIOLOGY,19810218,-21.19,71,56.1123,81.3628
LASER INDUSTRIES,19810226,12.18,72,70.9566,87.513
C-COR ELECTRONICS,19810226,-27.926,73,91.0856,95.83
AUTOCLAVE ENGINEERS,19810305,-6.31,74,97.517,97.517
OBJECT RECOGNITION,19810319,-18.34,75,50.6529,56.9845
HEI,19810324,-22.963,76,22.2646,24.0698
TECHNOLOGY MARKETING,19810324,-79.112,77,42.0652,44.6943
SEI,19810325,90.48,78,109.676,117.74
EMULEX,19810326,451.456,79,67.9118,72.156
VENTREX LABS,19810326,1.333,80,152.972,152.972
INFOTRON SYSTEMS,19810326,13.54,81,266.746,298.128
ULTIMATE CORPORATION,19810407,234.426,82,88.5799,110.725
INTERGRAPH,19810407,163.507,83,524.509,764.91
EIL INSTRUMENTS,19810408,-48.864,84,44.1913,39.588
GERBER SYSTEMS,19810408,-59.22,85,103.297,103.297
MANAGEMENT SCIENCE,19810408,68.28,86,220.46,248.018
COMPUTER ENTRY,19810415,-25.23,87,57.4562,56.4302
SILICON ELECTRO-PHYSIC,19810416,-43.75,88,18.4814,18.0963
INTERTEC DATA,19810416,-79.89,89,269.817,266.819
DORADO MICRO SYSTEMS,19810421,-68.462,90,328.043,403.745
DATA I/O,19810505,-28.95,91,226.013,290.222
IPL SYSTEMS,19810512,-56.863,92,125.295,120.476
ADVANCED SEMICONDUCTOR,19810512,44.6,93,220.197,253.227
NOVAR ELECTRONICS,19810513,115.344,94,28.4105,30.6833
CABLE TV INDUSTRIES,19810513,-78.08,95,75.93,102.506
DETECTOR ELECTRONICS,19810602,-77.168,96,83.6647,112.424
SOFTWARE AG,19810609,-52.459,97,279.544,353.312
GEOPHYSICAL SYSTEMS,19810617,-95.812,98,203.29,249.03
ALPHA MICROSYSTEMS,19810618,-20.66,99,97.19,97.19
KYLE TECHNOLOGY,19810619,-62.393,100,45.5327,47.1589
MICOM SYSTEMS,19810619,122.38,101,493.241,583.67
HBO & COMPANY,19810630,175.347,102,280.354,313.874
LIEBERT,19810701,104.94,103,268.326,322.83
ZONIC,19810702,-86.047,104,24.6165,21.5394
ODETICS,19810714,-36.466,105,82.5967,80.302
AMPLICA,19810722,32.716,106,106.758,106.758
BIOSEARCH MEDICAL,19810724,125.23,107,62.1614,62.1614
BEDFORD COMPUTER,19810728,15.152,108,28.4079,28.8518
PANSOPHIC SYSTEMS,19810805,-1.65,109,274.715,274.715
SYSTEMATICS,19810812,102.633,110,180.415,195.968
SOUTHERN MEDIC & PHARM,19810818,-93.67,111,114.907,109.162
SOFTECH,19810827,-22.58,112,55.8617,61.1819
NCA,19810827,-17.241,113,87.5093,83.134
BOLT TECHNOLOGY,19810902,-16.215,114,118.429,120.582
DATA MEASUREMENT,19810915,0,115,7.226,7.5873
CYCARE SYSTEMS,19810923,119.72,116,37.6765,36.6299
SEAGATE TECHNOLOGY,19810924,16.57,117,470.184,511.32
ASK COMPUTER SYSTEMS,19811001,177.419,118,140.402,146.784
CORVUS SYSTEMS,19811002,-61.73,119,191.065,191.065
CIPHER DATA PRODUCTS,19811006,333.333,120,94.9277,102.422
VECTOR GRAPHIC,19811014,-97.71,121,188.633,195.888
DATAPOWER,19811021,-4.439,122,21.5768,20.596
FONAR,19811023,-20.87,123,177.208,212.65
COMPUTONE SYSTEMS,19811104,-44.19,124,71.993,71.326
INSTACOM,19811104,51.765,125,107.947,113.345
MONCHIK-WEBER,19811110,25.51,126,97.583,104.236
COM SYSTEMS,19811117,-63.072,127,30.6884,31.4556
SYSCON,19811117,32.67,128,75.1429,73.435
VISUAL TECHNOLOGY,19811117,-77.32,129,106.15,106.15
COMMUNICATIONS SYSTEMS,19811118,94.85,130,58.8002,58.8002
HEALTHDYNE,19811208,-55.1,131,111.864,115.015
COMPUTER ASSOCIATES,19811209,156.79,132,102.333,100.506
COMPUTER MEMORIES,19820107,9.3,133,75.6607,78.363
INT'L ROBOMATION,19820121,-39.5,134,55.9414,54.0766
CSP INC,19820129,-9.63,135,31.1821,31.6546
CRIME CONTROL,19820129,-74.699,136,64.567,66.181
TECH FOR COMM,19820202,-52.67,137,112.353,117.79
LTX CORP,19820202,150.172,138,132.003,139.768
SYNTREX INC,19820330,-58.282,139,199.121,201.61
SPACE MICROWAVE,19820406,-60.526,140,20.6152,18.5537
REXON BUSINESS,19820422,-7.246,141,42.1414,43.4584
COMPUTER INPUT,19820422,65.116,142,42.9824,42.9824
DATASWITCH,19820427,-27.686,143,83.3076,99.969
CONVERGENT TECH,19820518,-21.963,144,619.998,654.44
BPI SYSTEMS,19820603,-56.436,145,65.8752,68.62
DIAGNOSTIC PRODUCTS,19820608,57.73,146,100.439,100.439
INTERMETRICS,19820629,15.044,147,44.412,44.412
TERA CORP,19820708,-81.323,148,344.158,341.469
ENVIRONMENTAL TESTING,19820811,623.077,149,35.1334,33.3768
UNIVERSAL MONEY,19820820,-60.01,150,38.252,38.252
ELEC OF ISRAEL,19820915,-11.387,151,76.7902,82.763
PSYCH SYSTEMS,19820923,-97.449,152,17.2397,20.6876
ON LINE SOFTWARE,19820929,-59.055,153,124.567,130.796
BIOMET INC,19821001,236.918,154,31.3701,52.4847
TANO CORP,19821007,-51.678,155,29.1708,29.1708
INTECOM INC,19821019,-61.582,156,632.122,695.33
MERRIMAC INDUSTRIES,19821029,40.589,157,24.8223,31.0279
SYSTEMS & COMPUTERS,19821102,-77.16,158,509.089,620.93
ALTOS COMPUTERS,19821104,-64.198,159,709.889,1022.58
LEE DATA,19821118,-79.87,160,565.097,840.21
TRIANGLE MICROWAVE,19821126,21.053,161,31.536,46.6733
PATIENT TECH,19821201,11.429,162,25.2603,31.8093
QUALITY SYSTEMS,19821201,-78.808,163,84.8645,93.601
ARGOSYSTEMS,19821202,23.833,164,161.219,249.327
PAR TECHNOLOGY,19821203,-37.778,165,353.904,495.47
DIONEX CORP,19821207,37.67,166,191.739,269.948
HOGAN SYSTEMS,19821210,-45.18,167,270.299,315.348
QUANTUM CORP,19821210,11.05,168,425.916,405.14
PERCEPTRONICS,19821216,158,169,20.4073,23.3226
HARRIS & PAULSON,19821217,-86.446,170,20.44,20.951
PHARMACONTROL,19821221,74.359,171,30.041,28.5389
BIOSTIM,19821222,-98.182,172,35.3437,47.714
LASER PHOTONICS,19830105,-32.203,173,23.5447,34.1398
QUALITY MICRO SYSTEMS,19830113,-3.771,174,159.223,211.907
COOK DATA SERVICES,19830201,-45,175,64.8936,69.963
DIGITAL COMMUNICATIONS,19830210,66.154,176,152.832,211.781
SILICON VALLEY GROUP,19830216,-13.483,177,174.102,212.791
TIME ENERGY SYSTEMS,19830218,-67.52,178,97.118,126.253
"DIASONICS, INC.",19830223,-87.674,179,2237.7,2720.85
AMERICAN SOFTWARE,19830224,-43.084,180,135.12,132.305
VLSI TECHNOLOGY,19830224,3.82,181,452.988,566.23
XEBEC,19830301,-81.5,182,190.348,240.734
AUTOMATIX INCORPORATED,19830301,-84.47,183,458.816,482.96
APOLLO COMPUTER,19830303,-14.085,184,989.89,1192.37
INFORMATION RESOURCES,19830304,31.01,185,223.085,417.073
FORTUNE SYSTEMS,19830304,-91.594,186,1124.8,1099.23
PENTA SYSTEMS,19830315,-94.06,187,115.274,115.274
TELEVIDEO SYSTEMS,19830315,-82.133,188,1662.46,1997.26
SCAN-TRON CORP.,19830316,91.75,189,74.4568,75.946
BR COMMUNICATIONS,19830316,-64.25,190,188.979,231.724
SCI. SYSTEMS SERVICE,19830322,-69.154,191,94.4658,100.496
INTEGRATED SOFTWARE,19830323,-38.372,192,181.817,241.476
BURR-BROWN CORPORATION,19830324,73.79,193,187.974,199.032
MASSTOR SYSTEMS,19830325,-90.82,194,460.345,525.08
BFI COMMUNICATIONS,19830407,-77.358,195,34.3092,44.602
HYTEK MICROSYSTEMS,19830413,-32.468,196,43.0357,58.4056
INTEGRATED CIRCUITS,19830421,-27.059,197,29.705,33.7192
"TELECI, INC.",19830426,-97.159,198,29.9516,32.198
CLINICAL DATA,19830427,-71,199,39.4686,40.2908
STERLING SOFTWARE,19830504,22.94,200,72.9648,90.193
MACNEAL-SCHWENDLER,19830505,3.129,201,201.901,320.408
CONSCO ENTERPRISES,19830511,-91.364,202,33.9714,32.7582
"INFO DESIGNS, INC.",19830512,-94.85,203,36.032,59.4528
"PRIMAGES, INC.",19830512,-33.523,204,44.4702,66.7054
LSI LOGIC CORP.,19830513,-5.67,205,1216.73,1390.55
SYSTEMS ASSOCIATES,19830520,-52.267,206,83.0538,111.603
ELECTRONIC FINANCIAL,19830525,-88.06,207,19.2321,22.6664
"ASTRO-MED, INC.",19830525,-24.14,208,39.2186,46.8444
TELERAM COMMUNICATIONS,19830526,-98.23,209,36.7695,75.9904
COMPUTER LANGUAGE,19830527,-72.06,210,644.401,843.86
DAISY SYSTEMS,19830601,-30.94,211,498.074,546.27
MAGNETIC INFO. TECH.,19830602,-97.656,212,29.8812,37.0527
DISTRIBUTED LOGIC,19830602,-21.33,213,37.203,49.1612
ARTEL COMMUNICATIONS,19830602,-68.269,214,44.3869,94.3222
INTERAND CORPORATION,19830602,-34.35,215,72.109,118.98
"ENDATA, INC.",19830602,-57.627,216,122.988,137.179
PRIAM CORPORATION,19830602,-71.52,217,581.113,700.75
VANZETTI SYSTEMS,19830603,-46.269,218,33.1134,34.1482
BGS SYSTEMS,19830603,-36.646,219,127.04,139.391
MICROPOLIS CORP.,19830603,-11.111,220,355.544,397.37
BIO-LOGIC SYSTEMS,19830607,113.158,221,16.7211,22.2948
SPAN-AMERICAN MEDICAL,19830608,77.053,222,18.2694,33.6156
AMHERST ASSOCIATES,19830608,-3.439,223,78.6398,123.202
"POWERTEC, INC.",19830610,59.65,224,50.4758,58.6928
202 DATA SYSTEMS,19830614,-76.549,225,87.5848,100.358
"SELECTERM, INC.",19830614,-64.375,226,107.38,117.82
ENSUN CORP.,19830615,-84.694,227,20.2117,24.254
"MEDAR, INC.",19830615,39.63,228,45.04,58.552
EAGLE COMPUTER,19830615,-98.56,229,393.361,508.092
GIGA-TRONICS,19830620,-42.358,230,132.562,236.126
KENTRON INT'L,19830622,-67.9,231,166.198,225.059
GRADCO SYSTEMS INC.,19830622,-15.75,232,183.871,194.086
KEY TRONIC CORP.,19830622,-49.28,233,386.224,510.013
"UNGERMANN-BASS, INC.",19830623,-57.674,234,679.262,1009.46
MARGAUX CONTROLS,19830624,-72.19,235,216.631,246.172
BOMED MEDICAL LTD.,19830630,-77.5,236,23.1956,33.6336
AVANT-GARDE,19830630,-82.292,237,120.851,179.389
CIPRICO INC.,19830701,-37.922,238,46.3191,55.004
MARQUEST MEDICAL,19830701,-42.841,239,139.507,141.558
INTERACTIVE RADIATN.,19830707,-32.308,240,22.7902,22.7902
APPLIED COMMUNICATIONS,19830707,30.061,241,127.089,177.487
CIRCON CORPORATION,19830707,-53.49,242,235.681,286.566
IOMEGA CORPORATION,19830707,13.924,243,286.657,279.491
TELEPHONE SUPPORT,19830708,2.222,244,16.89,18.579
CMC INTERNATIONAL,19830708,-83.898,245,25.2928,29.3396
INT'L MEDICAL SYSTEMS,19830712,-78.468,246,13.1404,13.1404
"INVENTION, DESIGN",19830712,-49.107,247,18.016,22.52
PERFECT DATA CORP.,19830712,-86.72,248,58.0577,75.1335
DIAGNON CORP,19830713,-53.922,249,45.603,45.603
BARON DATA SYSTEMS,19830713,-23.89,250,68.3032,63.75
COMPTEK RESEARCH,19830714,-49.65,251,61.3039,63.6618
"ISOMEDIX, INC.",19830714,-10.937,252,144.126,174.614
"KOLFF MEDICAL, INC.",19830715,-71.14,253,191.139,191.139
COMPUTRAC INC.,19830719,30.303,254,44.3194,45.2427
LINEAR CORPORATION,19830719,-67.19,255,101.07,99.385
CHAD THERAPEUTICS,19830720,-90.086,256,20.268,23.646
GTECH CORPORATION,19830720,129.9,257,271.147,245.567
WRIGHT LABORATORIES,19830721,-14.815,258,15.0096,15.0096
"ENDOTRONICS, INC.",19830721,670.294,259,26.1209,39.1814
TELXON CORPORATION,19830721,246.918,260,131.742,141.876
ZY MOS CORPORATION,19830721,-83.58,261,447.078,447.08
FREY ASSOCIATES,19830727,-79.44,262,40.59,44.8182
LIFELINE SYSTEMS,19830727,-54.867,263,88.4135,95.215
KEY IMAGE SYSTEMS,19830802,-95.359,264,12.6326,15.0619
ZIYAD INC.,19830802,-71.68,265,171.828,171.828
CARDIOSEARCH INC.,19830803,-68.224,266,23.172,23.172
P.C. TELEMART INC.,19830803,-99.02,267,33.78,42.225
APPLIED CIRCUIT,19830804,-96.43,268,235.012,240.353
FDP CORPORATION,19830812,-61.54,269,116.577,114.335
FINALCO GROUP,19830812,-72.548,270,157.124,157.124
"GULL, INC.",19830816,2.65,271,71.9548,73.668
BALLARD MEDICAL,19830822,23.822,272,29.4021,34.3025
DATASOUTH COMPUTER,19830825,-80.41,273,162.441,162.441
KAYPRO CORPORATION,19830825,-83.436,274,810.72,820.85
STRATUS COMPUTER,19830826,57.8,275,481.514,541.7
"BKW, INC.",19830909,-78.78,276,37.5296,35.6531
"WINTERHALTER, INC.",19830912,-94.51,277,39.41,47.292
EQUATORIAL COMMUNIC.,19830913,-66.923,278,337.255,385.434
COMP-U-CARD,19830914,56.07,279,209.686,219.915
INNOVATIVE SOFTWARE,19830915,13.924,280,35.5084,40.7302
RENAL SYSTEMS,19830920,-32.961,281,32.6743,33.0456
KMW SYSTEMS CORP.,19830921,26.829,282,30.7848,30.7848
COMPUTRAC INSTRUM.,19830922,-38.298,283,19.8722,19.4494
CONT'L HEALTHCARE,19830927,52.69,284,38.847,38.847
PROTOCOL COMPUTERS,19830928,-89.271,285,144.659,146.166
CERPROBE CORPORATION,19830929,-53.333,286,24.9071,27.3978
MEDIFLEX SYSTEMS,19831004,35.156,287,132.316,138.932
VALID LOGIC SYSTEMS,19831004,-61.053,288,355.703,334.36
PARLEX CORPORATION,19831005,31.034,289,80.3615,78.976
"COPYTELE, INC.",19831006,217.868,290,63.056,67.785
STANFORD TELECOMM.,19831006,-5.738,291,94.825,109.413
LOTUS DEVELOPMENT,19831006,67.839,292,636.131,874.68
ESPRIT SYSTEMS,19831007,-85.151,293,66.2628,68.334
RADIONICS INC.,19831007,-18.64,294,102.333,102.333
FIBRONICS INT'L,19831011,19.57,295,59.7095,56.3923
SEEQ TECHNOLOGY,19831012,-88.667,296,297.917,275.573
ELECTRO SCIENTIFIC,19831018,-35.622,297,181.432,175.385
"ATV SYSTEMS, INC.",19831018,-81.988,298,262.876,262.876
RICHARDSON ELEC.,19831027,177.645,299,124.382,106.891
"DATAKEY, INC.",19831028,25.532,300,33.521,38.5492
LANE TELECOMM.,19831102,-74.38,301,52.663,52.663
SELECT INFORMATION,19831103,-69.88,302,11.1249,11.403
TERAK CORP.,19831103,-89.63,303,72.2329,72.233
SYSTEMS INTEGRATORS,19831103,-16.25,304,234.951,229.077
MINISCRIBECORP.,19831103,-32.32,305,470.437,501.12
TLS CO.,19831104,-40,306,41.2566,41.2566
PERSONAL COMPUTER,19831109,97.59,307,19.0069,19.4821
MEDSTAT SYSTEMS,19831109,32.08,308,40.1667,37.2976
ANDOVER CONTROLS,19831115,1.235,309,79.2028,79.203
PANCRETEC INC.,19831117,-74.603,310,22.8083,29.4607
APPLIED DATA,19831118,-69.89,311,73.9444,77.306
WORLCO DATA SYSTEMS,19831122,-28.205,312,32.654,31.0213
STARTEL CORPORATION,19831122,-65.5,313,45.4341,44.2982
VODAVI TECHNOLOGY,19831129,-44.776,314,123.265,127.118
DICEON ELECTRONICS,19831130,37.984,315,197.996,197.996
ASHTON-TATE,19831130,223.894,316,292.548,292.548
"VMX, INC.",19831202,-65.986,317,256.329,259.89
BEL FUSE,19831206,29.52,318,69.1792,69.179
"SUPERTEX, INC.",19831206,-81.21,319,235.534,242.077
CERMETEK MICROELEC.,19831207,-79.85,320,61.5967,61.5967
COMPAQ COMPUTER,19831209,84.27,321,628.49,635.63
"FINAL TEST, INC.",19831213,-55.556,322,16.6085,16.6085
CALIF. AMPLIFIER,19831213,-90.588,323,77.2436,81.106
CINCINNATI MICRO.,19831213,-0.093,324,291.859,291.859
CCX NETWORK,19831214,75.25,325,56.264,57.4361
INTELLIGENETICS,19831214,-18.367,326,65.8845,65.885
COMPONENT TECHNOLOGY,19831215,-24.949,327,23.9455,23.0903
ALLY & GARGANO,19831215,1.6,328,59.9933,58.7434
FORMASTER CORPORATION,19831215,-87.273,329,89.6746,91.917
ARCHIVE CORP.,19831216,-51.55,330,230.988,230.988
ZITEL CORPORATION,19831222,-85.185,331,96.2054,96.205
"ARRAYS, INC.",19840112,-87.7,332,62.3924,62.3924
DEVELCON ELECTRONICS,19840112,-88.679,333,154.488,85.827
LANGER BIOMECHANICS,19840117,-74.4,334,40.465,41.8367
INTERPHASE CORP.,19840117,31.25,335,43.9634,43.2765
HADCO CORP.,19840117,-59.55,336,211.348,211.348
EPSILON DATA MGMT.,19840118,-22.16,337,68.1428,68.143
MENTOR GRAPHICS,19840118,-8.287,338,515.683,627.18
DUQUESNE SYSTEMS,19840119,585.71,339,51.7905,50.6646
"V BAND SYSTEMS, INC.",19840125,513.33,340,37.8283,41.6111
DAY TELECOMMUNIC.,19840127,-98.724,341,25.932,25.932
STOCKHOLDER SYSTEMS,19840202,-14.896,342,31.1184,31.1184
BOOLE & BABBAGE,19840203,-20.988,343,64.0953,64.095
PYRAMID MAGNETICS,19840214,-95.192,344,29.4977,28.0228
TELCO SYSTEMS,19840214,-57.11,345,144.528,144.528
INTEGRATED DEVICE,19840217,43.678,346,290.756,290.756
II MORROW INC.,19840308,-9.658,347,31.6241,35.1379
FANON/COURIER U.S.A.,19840314,-83.206,348,24.6873,24.6873
3COM CORP.,19840321,264.948,349,175.093,175.093
MICROPRO INT'L,19840322,-49.09,350,171.177,167.101
TOTAL ASSETS,19840502,27.273,351,27.985,26.5857
DH TECHNOLOGY,19840503,-16.81,352,75.8511,78.66
SILVAR-LISCO,19840509,13.58,353,67.0234,67.023
INVACARE CORP.,19840511,-9.48,354,133.855,133.855
COMPUSAVE CORP.,19840523,-93.878,355,27.0125,54.025
MICRON TECHNOLOGY,19840601,-12.775,356,531.048,535.79
ZYCAD CORP.,19840605,-68.067,357,339.482,333.824
CONCORD COMPUTING,19840621,32.283,358,23.9957,23.2459
PHOENIX MEDICAL,19840628,48.454,359,19.7861,19.7861
KAPPA NETWORK,19840712,-8.911,360,10.3728,10.805
SCIENTIFIC MICRO SYS,19840801,-11.111,361,129.663,127.756
NORTHERN DATA SYS,19840802,39.344,362,46.0293,46.0293
ALTRON INC.,19840807,-51.81,363,69.2817,71.014
WILAND SERVICES INC.,19840808,-73.267,364,43.193,43.193
CYBERTEK COMPUTER,19840808,-27.27,365,56.4831,56.4831
MASS. COMPUTER CORP.,19840809,-41.129,366,423.39,456.82
CITISOURCE INC.,19840910,-93.636,367,19.0168,25.6727
SCIENTIFIC COMMUN.,19841004,48.921,368,33.7429,34.2392
WYSE TECHNOLOGY,19841004,442.609,369,125.902,128.15
IPC COMMUNICATIONS,19841012,27.146,370,86.44,84.279
QMAX TECHNOLOGY,19841108,84.615,371,19.2761,30.8418
"GV MEDICAL, INC.",19841113,58.824,372,23.8142,29.7678
SOFTWARE PUBLISHING,19841115,-8.33,373,100.655,106.047
SYMBOLICS INC.,19841115,-71.72,374,277.472,283.253
AUTOMATED SYSTEMS,19841120,-73.49,375,76.4848,76.485
NANOMETRICS INC.,19841128,-77.6,376,124.804,124.804
TRIO-TECH INT'L,19841206,-75.29,377,37.9256,36.4669
NATIONAL BUS. SYS.,19841206,116.974,378,93.2569,89.143
STAR TECHNOLOGIES,19841206,-80.822,379,257.194,257.194
AST RESEARCH,19841220,14.035,380,149.546,149.546
Britton Lee,19850124,-84.242,381,148.235,168.824
Data Translation,19850213,48.247,382,43.8061,44.9013
Encore Computer,19850410,-52.94,383,235.142,246.899
Bridge Communications,19850418,123.645,384,202.957,213.527
Computer Telephone,19850513,-83.981,385,16.529,19.1587
VM Software,19850529,9.091,386,133.568,154.438
Circadian,19850606,-74.26,387,52.0289,54.1968
DEST,19850619,-44.33,388,91.7362,91.736
American Technical Ceramics,19850628,-69.36,389,56.504,62.7822
Autodesk,19850628,623.711,390,149.243,162.811
Comtrex Systems,19850701,-82.653,391,26.3212,26.3212
GridComm,19850718,-87.719,392,22.9278,25.7938
Barrister Information Systems,19850723,-44.737,393,33.8845,35.2964
Iverson Technology,19850724,83.02,394,39.5361,48.8024
Telecalc,19850807,-78.099,395,27.1227,33.3383
Maxtor,19850807,33.33,396,168.022,185.206
Technology Development,19850814,-66.049,397,32.6261,36.2512
Hutchinson Technology,19850815,18.987,398,78.8677,76.896
National FSI,19850823,-74.372,399,76.6973,77.48
MOSCOM,19850828,-47.059,400,88.6912,85.28
Electronic Tele-Communications,19850905,-45.37,401,37.566,37.566
Circuit Systems,19850926,-32,402,12.8351,11.8724
Isco,19850926,67.63,403,71.9191,73.673
Jack Henry & Associates,19851120,-46.789,404,44.0227,44.0227
Rheometrics,19851122,-22.67,405,52.6863,54.1498
Advanced Instl Mgmt Software,19851126,-94.21,406,25.8266,25.8266
Cadnetix,19851126,14.53,407,191.597,198.44
Vertex Communications,19851204,-47.475,408,43.9021,44.8168
Telos,19851204,-20,409,61.3641,61.3641
Pyramid Technology,19851204,-13.29,410,274.275,290.649
AC Teleconnect,19851217,-26.32,411,50.2842,50.2842
Plexus,19860205,-37.888,412,64.6561,78.371
Xiox,19860207,-60,413,11.0897,10.8235
Mikron Instrument,19860228,-40.816,414,10.4468,12.5362
Sun Microsystems,19860304,118.182,415,871.36,857.74
Teknowledge,19860305,-76.818,416,179.946,179.946
Synercom Technology,19860307,-76.378,417,184.004,193.205
Pacer,19860312,54.455,418,22.3421,25.3887
Oracle Systems,19860312,367.88,419,397.451,543.182
General Sciences,19860313,22.449,420,18.081,21.6972
SunGard Data Systems,19860313,27.083,421,161.146,175.796
Microsoft,19860313,276.786,422,1076.62,1435.49
EMC,19860404,-69.26,423,477.836,441.64
Image Management Systems,19860507,-98.361,424,14.7903,18.4878
Telesis Systems,19860507,-44.262,425,63.7506,63.751
Vanguard Technologies Intl,19860507,38.928,426,92.0539,97.075
Verticom,19860514,-37.025,427,27.9452,30.069
Sigma Designs,19860515,433.333,428,25.3792,27.5861
Old Dominion Systems,19860515,-26.606,429,25.8659,34.9189
Cognitive Systems,19860516,-89.45,430,33.2078,33.8719
Tekelec,19860516,14.286,431,83.6995,81.991
Autoinfo,19860520,-61.29,432,32.2083,40.2604
Linear Technology,19860528,4.225,433,257.811,281.981
Cypress Semiconductor,19860529,40.26,434,591.176,632.56
World Group Companies,19860602,-98.78,435,16.2325,16.2325
Tel/Man,19860603,26.14,436,101.181,125.465
Perception Technology,19860604,-58.824,437,90.2604,105.304
Advanced Magnetics,19860611,1.21,438,62.3553,60.8707
Adaptec,19860611,4.819,439,133.35,143.878
Candela Laser,19860616,51.724,440,16.8756,19.6882
MAI Basic Four,19860624,-54.842,441,415.742,412.42
Eldec,19860625,22.807,442,129.38,139.73
Automated Language Processing,19860626,-59.398,443,79.1923,103.013
MicroBilt,19860626,97.449,444,84.8421,84.842
Alloy Computer Products,19860626,-77.5,445,92.3738,91.265
Interleaf,19860626,-32.29,446,223.22,267.864
Cellular,19860701,268.317,447,28.9296,36.162
Xyvision,19860702,-66.387,448,148.626,163.819
Research Frontiers,19860708,-37.5,449,25.5906,33.0546
CEM,19860708,97.59,450,47.8584,45.6324
Dynatem,19860709,-78.719,451,16.8756,16.1725
Cellular Communications,19860724,535.95,452,209.514,234.655
